				If you know of any rental assistance programs not documented here, please tell us by emailing us at research@nlihc.org or by filling out this form https://forms.gle/M2V4AcB42MJcyT8X7  If you are referencing this data, please use the following citation:  National Low Income Housing Coalition, (2020-2022). COVID-19 Emergency Rental Assistance Database, available at: https://bit.ly/RA-database   																																										
Last Updated: December 5, 2022																																														
GEOGRAPHY				DESCRIPTION					ADMINISTRATION AND FUNDING INFORMATION						FINANCIAL ASSISTANCE PROVIDED									IMPLEMENTATION						ELIGIBILITY & APPLICATION INFO							SOURCES						DATE		LOCATION POINTS	
Geographic Level	State	City/County/ Locality	Tribal Government/ Territory	Program Name	Description	Program Page Link  (Phone # if Link is Unavailable)	Communities Served for Combined Programs ERA1 or ERA2	Program Status	Administering Agency Name(s)	Administering Agency Type	Consultant used?	Collaborated activities/actions  Targeted outreach, Intake support, Application processing, Case management,  Other, Unknown, N/A	Funding Amount	Funding Source	Program Covers Rent?            (Arrears, Future/Current Payments, Both)	Duration of Assistance Limit ERA1	# Months Arrears Covered	Funding Limit Per Household (TOTAL)	Program Covers Utilities?	# Months Utilities Covered	Types of Utilities Covered	Program Covers Other Housing Expenses?	Types of Other Housing Expenses Covered	Program Applicant         (Tenant, Landlord, Both)	Allows Direct to Tenant Payment for ERA1?	Landlord Days to Respond Before Tenant Can Receive Funding Directly	Applications Prioritized?	Application Prioritization Specification  (Beyond Treasury Prioritization Requirements) 	Application Selection Method	Tenant Eligibility	Acceptable Proof of Housing Instability	Federally Assisted Housing Eligibility	Self- Certification Permitted?	Allowable Areas of Self-Certification	Fact-specific Proxy or Categorical Eligibility	Landlord Requirements	Source1	Source2	Source3	Source4	Source5	Source6	Date Added to Database	Date Last Updated by NLIHC	Location	Latitude/Longitude
State	Alabama			Alabama Emergency Rental Assistance Program	On February 12, 2021, Governor Kay Ivey authorized AHFA to implement the State’s new COVID-19 emergency rental assistance program. Emergency Rental Assistance (ERA) Alabama is funded entirely by a $263 million congressional grant under the Consolidated Appropriations Act of 2021 (the “Act”). Issuing a declaration of public emergency, AHFA is presently developing a program for processing online applications statewide, by landlords and renters. The online and phone system opens for applications from landlords and tenants on March 1, 2021 at 8 a.m. Central Time.	https://eraalabama.com/		Accepting applications	Alabama Housing Finance Authority, Legal Services Alabama	Public-private collaboration	Yes - Horne	Case management	$445,326,161.92	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	15 months	Water, sewer, trash, power, home energy	Yes	Internet	Both	Yes	5-7 days / 3 attempts to email or contact	Prioritization required, Process established on website	Active/ at risk of eviction	First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent, Live in unsafe or unhealthy housing conditions; past-due utility notice	Yes	Self-Attestation Permitted	Income Non-Traditional	Categorical Eligibility	W-9/Payee Information, Eviction Restrictions During Covered Period, Rental Ledger/ Lease	https://eraalabama.com/	https://www.ahfa.com/renters/emergency-rental-assistance-alabama	https://www.ahfa.com/news/imminent-eviction-prevention-initiative-available-through-era-alabama				2/19/2021	7/22/2022	Alabama	32.3182314, -86.902298
County	Alabama	Baldwin County		Baldwin County Emergency Rental Assistance Program	Baldwin County is launching the U.S. Treasury Emergency Rental Assistance Program to provide emergency rental assistance to residents who are at risk of experiencing homelessness or housing instability due to the COVID-19 pandemic. The program is funded through the federal Coronavirus Response and Relief Supplemental Appropriations Act, 2020 (H.R. 133). This relief package includes $25 billion for emergency rental assistance, of which $6.6 million has been allocated to the county of Baldwin to provide assistance within the 14 municipalities. Both landlords and renters may apply. The program can provide assistance for past-due rent and forward rent payments for applicants.	https://baldwincountyal.gov/erap		Applications on hold/Waitlist	Baldwin County	Single agency (public sector)	Unspecified	n/a	$11,976,967.80	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes		electricity, gas, water, sewer, trash removal	Yes	Relocation expenses, Late Fees, Hotel/Motel Stays	Unknown	Yes		Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent	Unknown	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease	https://www.fox10tv.com/news/baldwin_county/baldwin-county-is-launching-emergency-rental-assistance-program-due-to-covid-19/article_37e3e206-8c28-11eb-bd50-977b47a18c30.html	https://www.baldwinaltogether.org/faq	https://www.baldwinaltogether.org/resources	https://baldwincountyal.gov/docs/default-source/erap/finalbaldwinerapprogram-guidev1-6.pdf?sfvrsn=4dba6d4e_0			4/5/2021	7/22/2022	Baldwin County, Alabama	30.6010744, -87.77633329999999
City	Alabama	Birmingham		Birmingham Emergency Rental Assistance Program	The Birmingham Emergency Rental Assistance Program is here to help Birmingham residents who’ve fallen behind in paying rent or utilities because of the pandemic. The program is also prepared to help landlords with tenants unable to make rent because of COVID-19. This program is ONLY for renters who live within the city limits of Birmingham.	https://www.birminghamal.gov/renthelp		Applications on hold/Waitlist	City of Birmingham, Special Kind of Caring	Public-private collaboration	Unspecified	Intake support	$18,093,117.90	Treasury ERA1 and Treasury ERA2	Both				Yes		electricity, water, gas, home energy	Unknown		Both	Yes		Prioritization required, Process established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy housing conditions; utilities turned off	No	Self-Attestation Permitted	Income Non-Traditional	Categorical Eligibility	W-9/Payee Information, Rental Ledger/ Lease, ID or Corporate Resolution (if incorporated entity)	https://patch.com/alabama/birmingham-al/birmingham-newsletter-4-23						4/26/2021	7/22/2022	Birmingham, Alabama	33.5185892, -86.8103567
City	Alabama	Huntsville		City of Huntsville COVID-19 Emergency Rental Assistance Program	Huntsville received more than $6 million to distribute to those who qualify. Funds will be used to offer direct financial assistance on behalf of the tenant to landlords and utility companies to cover past-due payments of rent and utility/home energy costs. The goal is to prevent housing instability, potential eviction, and offer financial relief to qualifying tenants and landlords.	https://www.huntsvilleal.gov/covid-19-emergency-rental-assistance/		Accepting applications	Huntsville Office of Community Development	Single agency (public sector)	Unspecified	n/a	$10,761,211.70	Treasury ERA1 and Treasury ERA2	Both				Yes		electricty, home energy	Unknown		Both	No		Prioritization required, Process established on website	Active/ at risk of eviction	First-come first-served	50% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy housing conditions; past due utilities	Unknown	Self-Attestation Permitted	Income Non-Traditional	Unspecified	W-9/Payee Information	https://whnt.com/news/huntsvilles-emergency-rental-assistance-program-now-open/	https://3jzi0q2zthm01oqpx2h96lz1-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/COH_Covid19ERA_English-_flyer.pdf	https://huntsvillebusinessjournal.com/lead/2021/12/15/covid-rental-assistance-program-enters-second-phase/				4/13/2021	7/22/2022	Huntsville, Alabama	34.7303688, -86.5861037
County	Alabama	Jefferson County		Jefferson County Alabama Emergency Rental Assistance Program	The Jefferson County Commission has approved a federally funded Emergency Rental Assistance Program for those Jefferson County renters that have been negatively impacted by COVID-19 and need help with rent and utility bills. Once again, the County has partnered with three organizations that will manage the program, Birmingham Urban League, Neighborhood Housing Services and Bridge Ministries. These organizations will be open for applications starting May 24th, 2021 at 8:00 am. Note, for residents who live in the City of Birmingham, they should apply through the City’s program link, but all other residents in Jefferson County should apply through this program.	https://erap.jccal.org/		Applications on hold/Waitlist	Jefferson County Commission, Birmingham Urban League, Neighborhood Housing Services, Bridge Ministries	Public-private collaboration	Unspecified	Intake support, application processing	$24,186,249.20	Treasury ERA1 and Treasury ERA2	Both	15 months	12 months		Yes	15 months	water, sewer, trash, power, and home energy costs	Yes	Relocation Expenses, Late Fees, Internet	Both	Yes	10 days (email/phone); 14 days by US mail	Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, Past due utilities; AMI below 30%; currently living in hotel/motel; documentation that household is exiting a publicly funded institution	Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Categorical Eligibility	W-9/Payee Information, Rental Ledger/ Lease	https://erap.jccal.org/						6/3/2021	7/22/2022	Jefferson County, Alabama	33.4914122, -86.9824288
County	Alabama	Madison County		Madison County Emergency Rental Assistance Program	The Madison County Emergency Rental Assistance Program (MCERAP) was created to help renters dealing with financial challenges related to the COVID-19 pandemic. For eligible households, the program offers rental and utility assistance to help Madison County renters avoid evictions and loss of utility services. Utilities include electric, water, gas, and sewer. Emergency Rental Assistance Programs were established by the Consolidated Appropriations Act of 2021.  	https://mcerap.com/		Program permanently closed	Madison County	Single agency (public sector)	Unspecified	n/a	$5,223,224.50	Treasury ERA1 only	Both				Yes		electric, water, gas, sewer	Yes	Uncategorized Housing Expenses	Both	Yes	10 days	Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Unspecified, Current Lease	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions, rent to income ratio of more than 30% of adjusted income	Yes	Self-Attestation Permitted	COVID Hardship, Lease	Unspecified	W-9/Payee Information, Rent increase restriction during covered period	https://www.madisoncountyal.gov/services/emergency-rental-assistance	https://mcerap.com/	https://www.waaytv.com/archive/madison-county-residents-still-in-need-of-rental-assistance-as-programs-start-to-close/article_8d861990-148f-598c-a0ec-cbeb91869c77.html				6/10/2021	7/22/2022	Madison County, Alabama	34.72397309999999, -86.49965460000001
