# Source: https://www.census.gov/naics
Seq. No.,2022 NAICS US Code,2022 NAICS US Title,,
2,111,Crop Production,,
56,112,Animal Production and Aquaculture,,
98,113,Forestry and Logging,,
108,114,"Fishing, Hunting and Trapping",,
117,115,Support Activities for Agriculture and Forestry,,
133,211,Oil and Gas Extraction,,
139,212,Mining (except Oil and Gas),,
165,213,Support Activities for Mining,,
174,221,Utilities ,,
199,236,Construction of Buildings,,
211,237,Heavy and Civil Engineering Construction,,
228,238,Specialty Trade Contractors,,
272,311,Food Manufacturing,,
346,312,Beverage and Tobacco Product Manufacturing,,
361,313,Textile Mills,,
379,314,Textile Product Mills,,
391,315,Apparel Manufacturing,,
403,316,Leather and Allied Product Manufacturing,,
413,321,Wood Product Manufacturing,,
435,322,Paper Manufacturing,,
455,323,Printing and Related Support Activities,,
463,324,Petroleum and Coal Products Manufacturing,,
473,325,Chemical Manufacturing,,
528,326,Plastics and Rubber Products Manufacturing,,
557,327,Nonmetallic Mineral Product Manufacturing,,
592,331,Primary Metal Manufacturing,,
625,332,Fabricated Metal Product Manufacturing,,
685,333,Machinery Manufacturing,,
739,334,Computer and Electronic Product Manufacturing,,
777,335,"Electrical Equipment, Appliance, and Component Manufacturing",,
806,336,Transportation Equipment Manufacturing,,
855,337,Furniture and Related Product Manufacturing,,
875,339,Miscellaneous Manufacturing,,
902,423,"Merchant Wholesalers, Durable Goods ",,
986,424,"Merchant Wholesalers, Nondurable Goods ",,
1058,425,Wholesale Trade Agents and Brokers ,,
1063,441,Motor Vehicle and Parts Dealers ,,
1080,444,Building Material and Garden Equipment and Supplies Dealers ,,
1095,445,Food and Beverage Retailers ,,
1116,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers ",,
1127,455,General Merchandise Retailers ,,
1135,456,Health and Personal Care Retailers ,,
1146,457,Gasoline Stations and Fuel Dealers ,,
1155,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers ",,
1167,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers ",,
1202,481,Air Transportation,,
1212,482,Rail Transportation,,
1217,483,Water Transportation,,
1228,484,Truck Transportation,,
1242,485,Transit and Ground Passenger Transportation,,
1267,486,Pipeline Transportation,,
1279,487,Scenic and Sightseeing Transportation,,
1289,488,Support Activities for Transportation,,
1320,491,Postal Service,,
1324,492,Couriers and Messengers,,
1331,493,Warehousing and Storage,,
1342,512,Motion Picture and Sound Recording Industries,,
1363,513,Publishing Industries,,
1379,516,Broadcasting and Content Providers,,
1388,517,Telecommunications,,
1402,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,
1406,519,"Web Search Portals, Libraries, Archives, and Other Information Services",,
1413,521,Monetary Authorities-Central Bank,,
1417,522,Credit Intermediation and Related Activities,,
1441,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,
1458,524,Insurance Carriers and Related Activities,,
1476,525,"Funds, Trusts, and Other Financial Vehicles ",,
1492,531,Real Estate,,
1513,532,Rental and Leasing Services,,
1540,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),,
1545,541,"Professional, Scientific, and Technical Services",,
1640,551,Management of Companies and Enterprises,,
1647,561,Administrative and Support Services,,
1713,562,Waste Management and Remediation Services,,
1734,611,Educational Services,,
1772,621,Ambulatory Health Care Services,,
1815,622,Hospitals,,
1825,623,Nursing and Residential Care Facilities,,
1841,624,Social Assistance,,
1864,711,"Performing Arts, Spectator Sports, and Related Industries",,
1890,712,"Museums, Historical Sites, and Similar Institutions",,
1900,713,"Amusement, Gambling, and Recreation Industries",,
1925,721,Accommodation,,
1941,722,Food Services and Drinking Places,,
1959,811,Repair and Maintenance,,
1987,812,Personal and Laundry Services,,
2019,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",,
2047,814,Private Households,,
2052,921,"Executive, Legislative, and Other General Government Support ",,
2066,922,"Justice, Public Order, and Safety Activities ",,
2082,923,Administration of Human Resource Programs ,,
2092,924,Administration of Environmental Quality Programs ,,
2098,925,"Administration of Housing Programs, Urban Planning, and Community Development ",,
2104,926,Administration of Economic Programs ,,
2116,927,Space Research and Technology ,,
2120,928,National Security and International Affairs ,,
