field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
1,Unique identifier,Unique identifier,uid,Text (width 21 to 45 characters),,,Required for all application records,"Enter a unique identifier for each application or extension of credit that:<ul><li>Begins with the financial institution's Legal Entity Identifier as defined in comment 1002.109(b)(6)-1</li><li>Follows the Legal Entity Identifier with up to 25 additional characters to identify the covered loan or application, which:<ul><li>May be uppercase letters, numerals, or a combination of uppercase letters and numerals (cannot contain dashes, other special characters, or characters with diacritics)</li><li>Must be unique within the financial institution</li><li>Must not include any information that could be used to directly identify the applicant or borrower</li></ul></li></ul>",12 CFR 1002.107(a)(1),10BX939C5543TQA1144M999143938,"Must be at least 21 characters in length and at most 45 characters in length; May contain any combination of numbers and/or uppercase letters (i.e., 0-9 and A-Z), and must not contain any other characters; May not be used in more than one record within a small business lending application register; The first 20 characters should match the Legal Entity Identifier (LEI) for the financial institution"
2,Application date,Application date,app_date,Date,,,Required for all application records,"Enter, in numeral form, the date the application was received or the date shown on the application form by year, month, and day, using YYYYMMDD format.",12 CFR 1002.107(a)(2),"For October 1, 2024, enter 20241001",Must be a real calendar date using YYYYMMDD format
3,Application method,Application method,app_method,Single response,1;2;3;4,Code 1 - In-person; Code 2 - Telephone; Code 3 - Online; Code 4 - Mail,Required for all application records,Indicate the means by which the applicant submitted the application by entering one of the specified codes.,12 CFR 1002.107(a)(3),,"Must equal 1, 2, 3 or 4"
4,Application recipient,Application recipient,app_recipient,Single response,1;2,Code 1 - The applicant submitted the application directly to the financial institution or its affiliate; Code 2 - The applicant submitted the application indirectly to the financial institution via a third party,Required for all application records,Indicate the application recipient by entering one of the specified codes.,12 CFR 1002.107(a)(4),,Must equal 1 or 2
5,Credit type,Credit product,ct_credit_product,Single response,1;2;3;4;5;6;7;8;977;988,"Code 1 - Term loan - unsecured; Code 2 - Term loan - secured; Code 3 - Line of credit - unsecured; Code 4 - Line of credit - secured; Code 5 - Credit card account, not private-label; Code 6 - Private-label credit card account; Code 7 - Merchant cash advance; Code 8 - Other sales-based financing transaction; Code 977 - Other; Code 988 - Not provided by applicant and otherwise undetermined",Required for all application records,Indicate the credit product by entering one of the specified codes.,12 CFR 1002.107(a)(5)(i),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 977, or 988"
6,Credit type,Free-form text field for other credit products,ct_credit_product_ff,Text (width up to 300 characters),,,Conditionally required if 'credit product' is code 977. Leave blank if code 977 is not entered.,Specify in text the other credit product if code 977 is entered.,12 CFR 1002.107(a)(5)(i),,Must not exceed 300 characters in length
7,Credit type,Type of guarantee,ct_guarantee,Multiple response,1;2;3;4;5;6;7;8;9;10;11;977;999,Code 1 - Personal guarantee - owner(s); Code 2 - Personal guarantee - non-owner(s); Code 3 - SBA guarantee - 7(a) program; Code 4 - SBA guarantee - 504 program; Code 5 - SBA guarantee - other; Code 6 - USDA guarantee; Code 7 - FHA insurance; Code 8 - Bureau of Indian Affairs guarantee; Code 9 - Other Federal guarantee; Code 10 - State government guarantee; Code 11 - Local government guarantee; Code 977 - Other; Code 999 - No guarantee,Required for all application records,"Indicate the type or types of guarantees by entering up to five of the specified codes. If there is more than one type of guarantee, enter each, in any order, separated by a semicolon. A maximum of five types of guarantees, including any 'other' guarantee(s) specified in the free-form text field, may be entered.",12 CFR 1002.107(a)(5)(ii),,"Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 977, or 999; Must contain at least one and at most five values, separated by semicolons; When code 999 is reported, should not contain any other values; Should not contain duplicated values"
8,Credit type,Free-form text field for other guarantee,ct_guarantee_ff,Text (width up to 300 characters),,,Conditionally required if 'type of guarantee' contains code 977. Leave blank if code 977 is not entered.,"Specify in text the other guarantee if code 977 is entered. If there is more than one other guarantee, separate each with a semicolon.",12 CFR 1002.107(a)(5)(ii),,Must not exceed 300 characters in length
9,Credit type,Loan term: NA/NP flag,ct_loan_term_flag,Single response,900;988;999,Code 900 - Applicable and reported; Code 988 - Applicable but not provided by applicant and otherwise undetermined; Code 999 - Not applicable,Required for all application records,Indicate whether 'loan term' is applicable for this application for credit by entering one of the specified codes.,12 CFR 1002.107(a)(5)(iii),,"Must equal 900, 988, or 999"
10,Credit type,Loan term,ct_loan_term,Numeric,,,Conditionally required if 'credit type: loan term: NA/NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter, in numerical form, the number of months in the loan term for products that have a loan term. If the product has a loan term of less than 1 month, enter 1.",12 CFR 1002.107(a)(5)(iii),"For a loan term of 36 months, enter 36; For a loan term of less than 1 month, enter 1","When present, must be a whole number; When present, must be greater than or equal to 1; When present, should be less than 1200 (100 years)"
11,Credit purpose,Credit purpose,credit_purpose,Multiple response,1;2;3;4;5;6;7;8;9;10;11;977;988;999,"Code 1 - Purchase, construction/improvement, or refinance of non-owner-occupied real property; Code 2 - Purchase, construction/improvement, or refinance of owner-occupied real property; Code 3 - Purchase, refinance, or rehabilitation/repair of motor vehicle(s) (including light and heavy trucks); Code 4 - Purchase, refinance, or rehabilitation/repair of equipment; Code 5 - Working capital (includes inventory or floor planning); Code 6 - Business start-up; Code 7 - Business expansion; Code 8 - Business acquisition; Code 9 - Refinance existing debt (other than refinancings listed above); Code 10 - Line increase; Code 11 - Overdraft; Code 977 - Other; Code 988 - Not provided by applicant and otherwise undetermined; Code 999 - Not applicable",Required for all application records,"Indicate the credit purpose(s) by entering up to three of the specified codes. If there is more than one credit purpose, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(6),,"Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 977, 988, or 999; Must contain at least one and at most three values, separated by semicolons; When code 988 or 999 is reported, should not contain any other values; Should not contain duplicated values"
12,Credit purpose,Free-form text field for other credit purpose,credit_purpose_ff,Text (width up to 300 characters),,,Conditionally required if 'credit purpose' contains code 977. Leave blank if code 977 is not entered.,Specify in text the other credit purpose if code 977 is entered. Do not enter more than one other credit purpose.,12 CFR 1002.107(a)(6),,Must not exceed 300 characters in length
13,Amount applied for,Amount applied for: NA/NP flag,amount_applied_for_flag,Single response,900;988;999,Code 900 - Applicable and reported; Code 988 - Applicable but not provided by applicant and otherwise undetermined; Code 999 - Not applicable,Required for all application records,Indicate whether 'amount applied for' is provided by entering one of the specified codes.,12 CFR 1002.107(a)(7),,"Must equal 900, 988 or 999"
14,Amount applied for,Amount applied for,amount_applied_for,Numeric,,,Conditionally required if 'amount applied for: NA/NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter one of the following:<ul><li>The dollar amount for initial amount of credit/credit limit requested by applicant at the application stage</li><li>If application is in response to a firm offer that specifies an amount or limit, the dollar amount of the firm offer, unless the applicant requested a different amount</li><li>If application is in response to a firm offer that does not specify an amount or limit and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If application is in response to a firm offer that specifies an amount or limit as a range and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If applicant did not request a particular amount but the financial institution underwrites for a specific amount, the dollar amount underwritten</li><li>If applicant requested a range of dollar amounts, the midpoint of that range</li><li>If application is a request for additional amounts on an existing account, the dollar amount of additional credit requested</li></ul>",12 CFR 1002.107(a)(7),"For $12,345, enter 12345","When present, must be a numeric value; When present, must be greater than 0"
15,Amount approved or originated,Amount approved or originated,amount_approved,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"Enter one of the following:<ul><li>For a closed-end origination, the amount of the originated loan</li><li>For a closed-end application, the highest amount approved if the application was approved but not accepted</li><li>For an open-end origination, the amount of the credit limit established</li><li>For an open-end application, the highest amount approved if the application was approved but not accepted</li><li>For additional credit amounts that were approved for or originated on an existing account, report the additional credit amount approved or originated, and not any previous amount extended</li><li>Leave blank if amount approved or originated is not applicable because an application is denied, withdrawn, or incomplete</li></ul>",12 CFR 1002.107(a)(8),"For $101.23, enter 101.23","When present, must be a numeric value; When present, must be greater than 0"
16,Action taken,Action taken,action_taken,Single response,1;2;3;4;5,Code 1 - Originated; Code 2 - Approved but not accepted; Code 3 - Denied; Code 4 - Withdrawn by the applicant; Code 5 - Incomplete,Required for all application records,Indicate what action is taken by entering one of the specified codes.,12 CFR 1002.107(a)(9),,"Must equal 1, 2, 3, 4, or 5"
17,Action taken date,Action taken date,action_taken_date,Date,,,Required for all application records,"Enter, in numeral form, the date the action was taken as a year, month, and day (YYYYMMDD).",12 CFR 1002.107(a)(10),"For October 25, 2024, enter 20241025","Must be a real calendar date using YYYYMMDD format; The date indicated must occur within the current reporting period: October 1, 2024 to December 31, 2024"
18,Denial reasons,Denial reason(s),denial_reasons,Multiple response,1;2;3;4;5;6;7;8;9;977;999,Code 1 - Credit characteristics of the business; Code 2 - Credit characteristics of the principal owner(s) or guarantor(s); Code 3 - Use of credit proceeds; Code 4 - Cashflow; Code 5 - Collateral; Code 6 - Time in business; Code 7 - Government loan program criteria ; Code 8 - Aggregate exposure; Code 9 - Unverifiable information; Code 977 - Other; Code 999 - Not applicable,Required for all application records,"For a denied application, indicate the principal reason(s) for denial by entering up to four of the specified codes. If there is more than one principal reason for denial, enter each, in any order, separated by a semicolon. A maximum of four denial reasons, including any 'other' denial reason(s) specified in the free-form text field, may be entered. ",12 CFR 1002.107(a)(11),"If Cashflow, enter 4; If Cashflow, Collateral, Time in business, and Government loan program criteria, enter 4;5;6;7 or 7;5;6;4 etc.","Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 977, or 999; Must contain at least one and at most four values, separated by semicolons; When code 999 is reported, should not contain any other values; Should not contain duplicated values"
19,Denial reasons,Free-form text field for other denial reason(s),denial_reasons_ff,Text (width up to 300 characters),,,Conditionally required if 'denial reason(s)' contains code 977. Leave blank if code 977 is not entered.,"Specify in text the other denial reason(s) if code 977 is entered. If there is more than one other denial reason, separate each with a semicolon.",12 CFR 1002.107(a)(11),,Must not exceed 300 characters in length
20,Pricing information,Interest rate type,pricing_interest_rate_type,Single response,1;2;3;4;5;6;999,"Code 1 - The transaction has a adjustable interest rate and <b>does not</b> have an initial rate period; Code 2 - The transaction has a fixed interest rate and <b>does not</b> have an initial rate period; Code 3 - The transaction has an initial rate period greater than 12 months, during which the interest rate is adjustable; Code 4 - The transaction has an initial rate period greater than 12 months, during which the interest rate is fixed; Code 5 - The transaction has an initial rate period less than or equal to 12 months, after which the interest rate is adjustable; Code 6 - The transaction has an initial rate period less than or equal to 12 months, after which the interest rate is fixed; Code 999 - Not applicable",Required for all application records,"Indicate the type of interest rate relevant to this transaction by entering one of the specified codes. If any code besides 999 is reported, use the subsequent fields to report the initial rate period, fixed rate transaction information, and adjustable rate transaction information, as applicable.",12 CFR 1002.107(a)(12)(i),,"Must equal 1, 2, 3, 4, 5, 6, or 999"
21,Pricing information,Initial rate period,pricing_init_rate_period,Numeric,,,"Conditionally required if 'interest rate type' is code 3, 4, 5, or 6. Leave blank if codes 3, 4, 5, or 6 are not entered.","For originated credit and credit that is approved but not accepted, if the transaction has an initial rate period, enter, as a whole number, the length of the initial rate period expressed in months.",12 CFR 1002.107(a)(12)(i)(B),24,"When present, must be a whole number; When present, must be greater than 0"
22,Pricing information,Fixed rate: interest rate,pricing_fixed_rate,Numeric,,,"Conditionally required if 'interest rate type' is code 2, 4, or 6. Leave blank if codes 2, 4, or 6 are not entered.","For originated credit and credit that is approved but not accepted, that has a covered fixed rate component, enter the interest rate, as a percentage, to at least three (3) decimal places. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(A),"If 4.125%, enter 4.125; If 4.500%, enter 4.5, 4.50, or 4.500","When present, must be a numeric value; When present, should generally be greater than 0.1"
23,Pricing information,Adjustable rate transaction: margin,pricing_adj_margin,Numeric,,,"Conditionally required if 'interest rate type' is code 1, 3, or 5. Leave blank if codes 1, 3, or 5 are not entered.","For originated credit and credit that is approved but not accepted, that has a covered adjustable rate component, enter the margin rate, as a percentage, to at least three (3) decimal places. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(B),"If 2.525%, enter 2.525; If 2.500%, enter 2.5, 2.50, or 2.500","When present, must be a numeric value; When present, should generally be greater than 0.1"
